,word,score,frequency,feature_proportion,eojeol_proportion,josa_variety,unique_josa_proportion
12765,상위종목,0.3186540909090909,29,0.6111111111111112,0.3793103448275862,3,0.6
12766,권수,0.997334,37,0.027777777777777776,0.02702702702702703,1,1.0
12767,기업공개,0.6699931666666666,39,1.0,0.8461538461538461,3,1.0
12768,7가지,0.8028658,21,1.0,0.7619047619047619,2,1.0
12769,전공자들,0.8168036956521739,46,1.0,0.0,6,1.0
12770,두타면세점,0.7869704285714285,21,1.0,0.3333333333333333,4,0.8
12771,커피여권,0.504724,3,1.0,0.6666666666666666,1,1.0
12772,나일론,0.999725,32,0.5,0.9375,1,1.0
12773,소혜,0.9018512941176472,95,0.9770114942528736,0.08421052631578947,6,0.8571428571428571
12774,공론,0.999867,76,0.0136986301369863,0.039473684210526314,1,1.0
12775,성문화,0.999605,13,0.3333333333333333,0.7692307692307693,1,1.0
12776,수재,0.749884,19,0.25,0.15789473684210525,4,1.0
12777,중고보상,1.0,5,1.0,0.0,1,1.0
12778,정경유착,0.9998823333333333,7,1.0,0.5714285714285714,2,1.0
12779,일관성,0.8015036999999999,21,1.0,0.5238095238095238,3,1.0
12780,2톤,0.999725,17,0.8888888888888888,0.47058823529411764,1,1.0
12781,이태리,0.999867,13,0.75,0.6923076923076923,1,1.0
12782,아모레퍼시픽,0.8783274054054054,72,0.9487179487179487,0.4583333333333333,5,0.8333333333333334
12783,위탁운용,0.504724,6,0.16666666666666666,0.0,1,1.0
12784,에어쿠션,0.7523185,4,1.0,0.5,2,1.0
12785,0709,0.0,51,0.0,1.0,0,0.0
12786,석유수출국,0.999913,41,0.024390243902439025,0.0,1,1.0
12787,특별단속,0.9944271428571428,15,1.0,0.5333333333333333,3,1.0
12788,엄태구,0.9981783333333333,6,1.0,0.0,2,1.0
12789,현우성,0.7519545,7,1.0,0.7142857142857143,2,1.0
12790,종합지원대책,0.999725,4,1.0,0.5,1,1.0
12791,아니기,0.900881,45,0.8333333333333334,0.8666666666666667,3,1.0
12792,전성초,0.4998025,4,1.0,0.5,1,0.5
